age,workclass,population.weight,education,years.of.education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
90,State-gov,11.252261753742095,HS-grad,9,Widowed,Tech-support,Not-in-family,White,Female,0.0,8.379539026117442,40,United-States,<=50K
82,Private,11.797134011710416,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,8.379539026117442,18,United-States,<=50K
66,Local-gov,12.13383523048546,Some-college,10,Widowed,Exec-managerial,Unmarried,Black,Female,0.0,8.379539026117442,40,United-States,<=50K
54,Private,11.851965829697152,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0.0,8.268988209506656,40,United-States,<=50K
41,Private,12.486216375943654,Some-college,10,Separated,Prof-specialty,Own-child,White,Female,0.0,8.268988209506656,40,United-States,<=50K
34,Private,12.287030319110098,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0.0,8.235095497258357,45,United-States,<=50K
38,Private,11.922395874472233,10th,6,Separated,Adm-clerical,Unmarried,White,Male,0.0,8.235095497258357,40,United-States,<=50K
74,State-gov,11.392327220329026,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,0.0,8.211754397375197,20,United-States,>50K
68,Federal-gov,12.952793767823309,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,8.211754397375197,40,United-States,<=50K
45,Private,12.056847316225408,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,0.0,8.008032846969307,35,United-States,>50K
38,Self-emp-not-inc,12.010829969457697,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,7.946263643580541,45,United-States,>50K
52,Private,11.768946577193814,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,0.0,7.946263643580541,20,United-States,>50K
32,Private,11.821916382743257,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,0.0,7.946263643580541,55,United-States,>50K
51,Private,12.056272488440174,Doctorate,16,Never-married,Tech-support,Not-in-family,White,Male,0.0,7.946263643580541,40,United-States,>50K
46,Private,10.72247411793522,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,7.946263643580541,40,United-States,>50K
45,Private,12.060023228346678,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0.0,7.946263643580541,76,United-States,>50K
57,Private,12.669328560068527,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,7.946263643580541,50,United-States,>50K
34,Private,12.221133656955478,Bachelors,13,Separated,Sales,Not-in-family,White,Male,0.0,7.946263643580541,50,United-States,>50K
37,Private,12.148311108671626,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,7.946263643580541,40,United-States,>50K
29,Private,11.251690562533296,11th,7,Separated,Sales,Not-in-family,White,Female,0.0,7.9211727215870145,42,United-States,<=50K
61,Private,10.277117937124274,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0.0,7.9211727215870145,25,United-States,<=50K
51,Private,11.943869868022961,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,7.86480400332846,40,United-States,<=50K
61,Self-emp-inc,11.81514633504309,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,7.86480400332846,32,United-States,<=50K
21,Private,10.443221281449327,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,7.86480400332846,40,United-States,<=50K
33,Private,12.340153262303497,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0.0,7.86480400332846,32,Mexico,<=50K
49,Private,11.712325353298935,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0.0,7.86480400332846,40,Greece,<=50K
37,Self-emp-inc,11.582124981771234,10th,6,Never-married,Transport-moving,Not-in-family,White,Male,0.0,7.847762537473608,50,United-States,>50K
38,Private,12.074601985280273,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,7.847762537473608,90,United-States,>50K
23,Private,10.693421095533761,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0.0,7.847762537473608,40,United-States,>50K
59,Self-emp-inc,11.583272086390776,10th,6,Widowed,Exec-managerial,Unmarried,White,Female,0.0,7.847762537473608,50,United-States,>50K
52,Private,12.200376452985292,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,7.847762537473608,60,United-States,>50K
51,Private,11.720037190571402,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,7.847762537473608,50,United-States,>50K
60,Self-emp-not-inc,12.231969410886297,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0.0,7.847762537473608,50,United-States,>50K
63,Federal-gov,10.575972736647978,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,7.847762537473608,60,United-States,>50K
53,Private,11.916061195517122,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0.0,7.847762537473608,48,United-States,>50K
51,Private,12.191791148704404,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,7.847762537473608,50,United-States,>50K
37,Self-emp-not-inc,11.83158281172133,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,7.847762537473608,60,United-States,>50K
54,Private,11.993448570006114,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,7.847762537473608,40,United-States,>50K
44,Private,12.695367128981715,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0.0,7.843064016692054,50,United-States,>50K
43,Private,11.659680291344149,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0.0,7.843064016692054,40,United-States,>50K
51,Private,11.653269846390483,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0.0,7.843064016692054,40,United-States,>50K
43,Private,12.57649762299307,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0.0,7.843064016692054,40,United-States,>50K
71,Private,11.521101946254364,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,7.820037989458753,15,United-States,<=50K
48,Private,11.705642797946304,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,0.0,7.813187267521416,70,United-States,>50K
71,Private,11.611693296564702,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,7.811163385025279,52,United-States,<=50K
73,Self-emp-not-inc,12.362576269298156,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0.0,7.80710329012598,40,Vietnam,<=50K
68,State-gov,12.165526654584093,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,7.80710329012598,40,United-States,<=50K
67,Self-emp-inc,12.072518395501566,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,7.80710329012598,40,United-States,<=50K
40,Self-emp-not-inc,12.723526255586386,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,7.801800401908973,45,United-States,>50K
50,Private,12.378890854892319,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0.0,7.801800401908973,72,United-States,>50K
51,State-gov,11.140396943108325,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0.0,7.801800401908973,39,United-States,>50K
42,Private,11.583169553358738,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,7.801800401908973,40,United-States,>50K
39,Private,11.860655522427155,Masters,14,Never-married,Sales,Not-in-family,White,Male,0.0,7.801800401908973,45,United-States,>50K
32,Private,12.243700744993413,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Male,0.0,7.801800401908973,50,United-States,>50K
53,Private,12.654737718544547,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,0.0,7.801800401908973,45,United-States,>50K
40,Local-gov,11.900722066924857,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0.0,7.801800401908973,40,United-States,>50K
38,Private,12.378381744541123,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0.0,7.801800401908973,45,United-States,>50K
33,Private,12.180252147115654,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,0.0,7.801800401908973,42,United-States,>50K
43,Private,11.951870480318997,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,0.0,7.801800401908973,70,United-States,>50K
50,Self-emp-inc,11.707192061532051,11th,7,Never-married,Exec-managerial,Other-relative,White,Male,0.0,7.801800401908973,40,United-States,>50K
44,Private,11.995530610539403,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,7.789868559054706,6,United-States,>50K
51,Self-emp-not-inc,11.987450109009888,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0.0,7.789868559054706,40,China,>50K
41,Private,11.792245170087133,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,7.789868559054706,40,United-States,>50K
37,Private,12.70679035602754,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,7.789868559054706,60,United-States,>50K
55,Self-emp-inc,11.729149128995266,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,7.789868559054706,35,Greece,>50K
39,Self-emp-inc,12.70679035602754,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,7.789868559054706,60,United-States,>50K
42,Self-emp-inc,12.142616205398392,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,7.789868559054706,60,United-States,>50K
49,Private,12.201210846113266,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,7.789868559054706,55,United-States,>50K
47,Self-emp-not-inc,11.88649390682785,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,7.789868559054706,50,United-States,>50K
41,Local-gov,12.602325450375798,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,7.789868559054706,45,United-States,>50K
55,Self-emp-inc,12.336473518186324,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,7.789868559054706,50,United-States,>50K
39,Private,12.099222131486982,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,7.789868559054706,65,United-States,>50K
42,Private,11.947139986364379,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,7.789868559054706,60,United-States,>50K
41,Self-emp-not-inc,10.21053097846653,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,7.789868559054706,12,United-States,>50K
46,Private,12.697281104800696,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0.0,7.789868559054706,65,United-States,>50K
40,Private,11.985238924502854,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,7.789868559054706,45,United-States,>50K
32,Private,12.89105155642227,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,7.789868559054706,48,United-States,>50K
41,Self-emp-inc,11.925630964733887,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,7.789868559054706,55,United-States,>50K
60,Self-emp-inc,12.725428780801517,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,7.789868559054706,80,United-States,>50K
31,Private,12.539024406829439,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,7.789868559054706,70,Taiwan,>50K
58,Self-emp-not-inc,10.674104903862972,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,7.789868559054706,40,United-States,>50K
37,Self-emp-inc,10.326465085728923,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,7.789868559054706,50,United-States,>50K
44,Self-emp-not-inc,12.214749889123818,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,7.789868559054706,50,United-States,>50K
55,Self-emp-inc,12.606357693596795,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,7.789868559054706,50,United-States,>50K
44,Self-emp-inc,12.163754741027617,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,7.789868559054706,55,United-States,>50K
